ocr,gt,count
space,space,3440
space,’,0
space,s,17
space,j,2
space,ḍ,0
space,g,1
space,v,7
space,ī,6
space,",",0
space,ā,6
space,ś,5
space,y,0
space,e,0
space,ṁ,2
space,l,0
space,ū,1
space,a,7
space,c,3
space,ṅ,0
space,ṛ,0
space,ḥ,28
space,k,1
space,*,12
space,d,3
space,t,2
space,r,2
space,o,2
space,:,0
space,ṣ,1
space,u,1
space,p,5
space,n,3
space,b,7
space,ṇ,0
space,ṝ,0
space,ṭ,0
space,m,6
space,-,3
space,h,1
space,ō,17
space,i,5
space,ñ,0
z,space,0
z,’,0
z,s,0
z,j,0
z,ḍ,0
z,g,0
z,v,1
z,ī,0
z,",",0
z,ā,3
z,ś,0
z,y,0
z,e,0
z,ṁ,0
z,l,0
z,ū,0
z,a,5
z,c,0
z,ṅ,0
z,ṛ,2
z,ḥ,0
z,k,0
z,*,0
z,d,0
z,t,1
z,r,0
z,o,0
z,:,0
z,ṣ,2
z,u,0
z,p,0
z,n,0
z,b,0
z,ṇ,0
z,ṝ,0
z,ṭ,0
z,m,0
z,-,0
z,h,1
z,ō,0
z,i,0
z,ñ,0
s,space,19
s,’,0
s,s,461
s,j,1
s,ḍ,0
s,g,0
s,v,2
s,ī,1
s,",",0
s,ā,17
s,ś,153
s,y,2
s,e,1
s,ṁ,0
s,l,1
s,ū,0
s,a,44
s,c,0
s,ṅ,1
s,ṛ,1
s,ḥ,3
s,k,6
s,*,6
s,d,0
s,t,3
s,r,5
s,o,0
s,:,0
s,ṣ,154
s,u,6
s,p,0
s,n,2
s,b,0
s,ṇ,1
s,ṝ,0
s,ṭ,5
s,m,3
s,-,1
s,h,2
s,ō,1
s,i,3
s,ñ,1
j,space,0
j,’,0
j,s,0
j,j,159
j,ḍ,0
j,g,0
j,v,0
j,ī,0
j,",",0
j,ā,0
j,ś,0
j,y,2
j,e,0
j,ṁ,0
j,l,0
j,ū,0
j,a,9
j,c,0
j,ṅ,0
j,ṛ,0
j,ḥ,0
j,k,0
j,*,0
j,d,0
j,t,0
j,r,2
j,o,0
j,:,0
j,ṣ,0
j,u,0
j,p,0
j,n,0
j,b,0
j,ṇ,0
j,ṝ,0
j,ṭ,0
j,m,0
j,-,0
j,h,0
j,ō,0
j,i,2
j,ñ,0
g,space,2
g,’,0
g,s,0
g,j,0
g,ḍ,1
g,g,146
g,v,0
g,ī,0
g,",",0
g,ā,1
g,ś,2
g,y,0
g,e,0
g,ṁ,0
g,l,0
g,ū,0
g,a,8
g,c,0
g,ṅ,1
g,ṛ,0
g,ḥ,2
g,k,0
g,*,0
g,d,0
g,t,0
g,r,1
g,o,0
g,:,0
g,ṣ,3
g,u,1
g,p,0
g,n,0
g,b,0
g,ṇ,9
g,ṝ,0
g,ṭ,1
g,m,0
g,-,0
g,h,1
g,ō,0
g,i,0
g,ñ,0
v,space,9
v,’,0
v,s,2
v,j,0
v,ḍ,0
v,g,0
v,v,601
v,ī,1
v,",",0
v,ā,6
v,ś,4
v,y,2
v,e,0
v,ṁ,0
v,l,0
v,ū,0
v,a,14
v,c,0
v,ṅ,0
v,ṛ,0
v,ḥ,0
v,k,0
v,*,0
v,d,1
v,t,3
v,r,1
v,o,0
v,:,0
v,ṣ,0
v,u,1
v,p,0
v,n,1
v,b,0
v,ṇ,0
v,ṝ,0
v,ṭ,0
v,m,1
v,-,0
v,h,2
v,ō,1
v,i,6
v,ñ,0
é,space,0
é,’,0
é,s,0
é,j,0
é,ḍ,0
é,g,0
é,v,0
é,ī,1
é,",",0
é,ā,0
é,ś,9
é,y,0
é,e,0
é,ṁ,0
é,l,0
é,ū,0
é,a,0
é,c,0
é,ṅ,0
é,ṛ,0
é,ḥ,0
é,k,0
é,*,0
é,d,0
é,t,0
é,r,1
é,o,0
é,:,0
é,ṣ,0
é,u,0
é,p,0
é,n,0
é,b,0
é,ṇ,0
é,ṝ,0
é,ṭ,0
é,m,0
é,-,0
é,h,0
é,ō,1
é,i,0
é,ñ,0
",",space,0
",",’,0
",",s,0
",",j,0
",",ḍ,0
",",g,0
",",v,0
",",ī,0
",",",",0
",",ā,0
",",ś,0
",",y,0
",",e,0
",",ṁ,0
",",l,0
",",ū,0
",",a,0
",",c,0
",",ṅ,0
",",ṛ,0
",",ḥ,1
",",k,0
",",*,0
",",d,0
",",t,0
",",r,0
",",o,0
",",:,0
",",ṣ,0
",",u,0
",",p,0
",",n,0
",",b,0
",",ṇ,0
",",ṝ,0
",",ṭ,0
",",m,0
",",-,0
",",h,0
",",ō,0
",",i,0
",",ñ,0
y,space,3
y,’,0
y,s,0
y,j,0
y,ḍ,0
y,g,0
y,v,3
y,ī,0
y,",",0
y,ā,4
y,ś,0
y,y,603
y,e,1
y,ṁ,0
y,l,0
y,ū,1
y,a,4
y,c,0
y,ṅ,0
y,ṛ,2
y,ḥ,2
y,k,0
y,*,0
y,d,1
y,t,0
y,r,1
y,o,0
y,:,0
y,ṣ,2
y,u,3
y,p,0
y,n,2
y,b,0
y,ṇ,0
y,ṝ,0
y,ṭ,0
y,m,0
y,-,0
y,h,1
y,ō,1
y,i,0
y,ñ,0
0,space,1
0,’,0
0,s,0
0,j,0
0,ḍ,0
0,g,0
0,v,0
0,ī,0
0,",",0
0,ā,0
0,ś,0
0,y,0
0,e,0
0,ṁ,0
0,l,0
0,ū,0
